Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
narrator_1c5156ce		After several turns, Sarah and Stukov enter another room.	game/tl/english/event/bath_day.rpy	5	"[what]" id narrator_1c5156ce
narrator_7573b67f		Sarah quickly looked around: it was almost completely empty, with just a single big object right in the middle... And the smell seemed familiar to her.	game/tl/english/event/bath_day.rpy	11	"[what]" id narrator_7573b67f
A_904bf4f3	A	So, what do you think?	game/tl/english/event/bath_day.rpy	17	A "[what]" id A_904bf4f3
narrator_23cdb4f6		Sarah, confused, inspected the 'object' for a few moments.	game/tl/english/event/bath_day.rpy	23	"[what]" id narrator_23cdb4f6
narrator_c462cf40		It looked similar to a pool, but with giant spikes in some places and green water. And it looked almost as if it was alive.	game/tl/english/event/bath_day.rpy	29	"[what]" id narrator_c462cf40
S_d44b29f1	S	What is that?!!	game/tl/english/event/bath_day.rpy	35	S "[what]" id S_d44b29f1
A_a00a2196	A	Mistress decided that you needed to relax. And, of course, clean yourself.	game/tl/english/event/bath_day.rpy	41	A "[what]" id A_a00a2196
narrator_6849b9e2		Sarah's cheeks reddened for a second.	game/tl/english/event/bath_day.rpy	47	"[what]" id narrator_6849b9e2
S_8125eec1	S	You want me to wash in it?!	game/tl/english/event/bath_day.rpy	53	S "[what]" id S_8125eec1
A_a245bd6d	A	Yes. When was the last time you took a bath? You stink a little. Ahahaha.	game/tl/english/event/bath_day.rpy	59	A "[what]" id A_a245bd6d
narrator_fba652e5		Sarah remembered that she indeed haven't washed in a while. Nevertheless, she answered:	game/tl/english/event/bath_day.rpy	65	"[what]" id narrator_fba652e5
S_d5366252	S	Can't you get me a normal bath? Contact your 'provider'!	game/tl/english/event/bath_day.rpy	71	S "[what]" id S_d5366252
A_39ffc683	A	Ahaha. I'd rather order something else from him. *Winks*	game/tl/english/event/bath_day.rpy	77	A "[what]" id A_39ffc683
S_9d3612ac	S	(Grrr... dirty pervert...)	game/tl/english/event/bath_day.rpy	83	S "[what]" id S_9d3612ac
A_87fb7c9a	A	And what's wrong with this bath?	game/tl/english/event/bath_day.rpy	89	A "[what]" id A_87fb7c9a
S_92a0f31e	S	It's disgusting! And it's moving!	game/tl/english/event/bath_day.rpy	95	S "[what]" id S_92a0f31e
A_c6d30421	A	Of course it's moving! Everything around here is alive!	game/tl/english/event/bath_day.rpy	101	A "[what]" id A_c6d30421
S_0162e272	S	What it's filled with? Is it water?	game/tl/english/event/bath_day.rpy	107	S "[what]" id S_0162e272
