"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"game/scripts/plot/act_1_new/chapter_1/assistent.rpy:16","string_0a589562","Első napok ápolóként Roxfortban","","False","","","""First days as a nurse in Hogwarts"""
"game/scripts/plot/act_1_new/chapter_1/assistent.rpy:16","string_b8fd1857","Látogass el Roxmortsba és küldj egy levelet az érkezésedről","","False","","","""Visit Hogsmeade and write a letter about your arrival"""
"game/scripts/plot/act_1_new/chapter_1/assistent.rpy:16","string_0c394062","Menj a bejárathoz","","False","","","""Get to the entrance"""
"game/scripts/plot/act_1_new/chapter_1/assistent.rpy:16","string_ba04eae7","Tedd tönkre az exhibicionista pár szórakozását","","False","","","""Ruin the fun the exhibitionist couple is having"""
"game/scripts/plot/act_1_new/chapter_1/assistent.rpy:16","string_b173aa4e","","","False","","","""Get past the redhead bi... student"""
"game/scripts/plot/act_1_new/chapter_1/assistent.rpy:16","string_bb541c0a","","","False","","","""Look for clues on the notice board at the entrance to Hogwarts Castle"""
"game/scripts/plot/act_1_new/chapter_1/assistent.rpy:16","string_e20755a4","Térj vissza Roxmortsba miután meglátogattad az összes Házat","","False","","","""Return to Hogsmeade after visiting all the Houses"""
"game/scripts/plot/act_1_new/chapter_1/assistent.rpy:16","string_2d4a015a","Vedd el a kórházi szárny kulcsait Dumledoretól és kezdj el orvosi vizsgálatokat végezni","","False","","","""Take keys for the Hospital wing from Dumbledore and start conducting medical check-ups"""
"game/scripts/plot/act_1_new/chapter_1/assistent.rpy:16","string_819d051d","Vedd el a kulcsokat Minervától és kezdj magánpraxist","","False","","","""Take keys from Minerva and start private practice"""
"game/scripts/plot/act_1_new/chapter_1/assistent.rpy:16","string_29cde2ac","Nézz a merengőbe","","False","","","""Look into the pensieve"""
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:11","sonya_d56fb77f","","","False","","","sonya ""So, long time no see!"" id sonya_d56fb77f"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:12","sonya_14c1cdd9","","","False","","","sonya ""This time, things are getting changed a bit, and the whole story of this adventure is now not entirely the same as it was before."" id sonya_14c1cdd9"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:13","sonya_b7b7bdac","","","False","","","sonya ""What does that mean exactly? Well, let me tell you!"" id sonya_b7b7bdac"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:14","sonya_e95cb66c","","","False","","","sonya ""In a nutshell, the story that you've just played has never been finished. Therefore, a new and updated one was created, based on the old story."" id sonya_e95cb66c"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:15","sonya_9cfc80bc","","","False","","","sonya ""So what will happen now is that you will start from Azkaban again, from the very beginning of the new story, when old and battered Marcus is joined by the Minister for Magic Petrius and his bodyguard Xandria."" id sonya_9cfc80bc"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:16","sonya_b67f3f4e","","","False","","","sonya ""I will try to assist you as much as I can, but you will for sure notice the differences and new events in this updated plot as you play."" id sonya_b67f3f4e"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:17","sonya_4c3145dd","","","False","","","sonya ""The introductory chapters were extended and filled with more lewdness than it was before >:D"" id sonya_4c3145dd"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:18","sonya_16b2eeab","","","False","","","sonya ""So just relax, pay attention to details, and of course enjoy the game!"" id sonya_16b2eeab"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:20","sonya_87e07f63","","","False","","","sonya ""Phew, I'm blabbering again. No more talking, let's play! {image=images/ui/sonya_heart.png}"" id sonya_87e07f63"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:54","spiritold_21b1a42e","","","False","","","spiritold ""Salazar Riddle?"" id spiritold_21b1a42e"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:56","old_e869dd5f","Tévedsz. Én Lord Rattlesnake vagyok.","","False","","","old ""You are mistaken. I am Lord Rattlesnake."" id old_e869dd5f"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:57","spiritold_6938f82d","Egy ostoba név, és nem a szüleidtől adatott név.","","False","","","spiritold ""A silly name, and not the one given to you by your parents."" id spiritold_6938f82d"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:59","old_5fa770f2","Semmi közöd hozzá, minisztériumi kutya. Miért zaklatsz engem?","","False","","","old ""It's none of your business, ministry dog. Why do you bother me?"" id old_5fa770f2"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:61","spiritold_434fc2f8","Nem tudod kitalálni? Nem tudod ki vagyok? Gyerünk, Marcus, barátok közt vagy, nincs szükség a színészkedésre.","","False","","","spiritold ""Can't you guess? Do you not know who I am? Come now, Marcus, you are amongst friends, no need to put up an act."" id spiritold_434fc2f8"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:63","old_c943c1ff","Én Lord Rattlesnake vagyok! Leszarom ki vagy. Most takarodj innen, vagy megbánod.","","False","","","old ""I am Lord Rattlesnake! I couldn't care less who you are. Leave now, or else you'll come to regret it."" id old_c943c1ff"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:71","xandria_c8a73c04","Ne fenyegesd miniszter Petrius-t!","","False","","","xandria ""Do not threaten Minister Petrius!"" id xandria_c8a73c04"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:73","old_5fa6fb03","Szóval, miniszter Petrius, eh? Köszi, kicsi auror. Most menj a sarkodba és engedd a feletteseidet beszélni.","","False","","","old ""So, Minister Petrius, eh? Thanks, little auror. Now go to your corner and let your superiors talk."" id old_5fa6fb03"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:75","xandria_cc67dbd2","Hogy merészelsz!Te... Te...","","False","","","xandria ""How dare you! You... You..."" id xandria_cc67dbd2"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:77","spiritold_40a7220c","Xandria, elég. Ahogy látod, a vendégünk úgy tűnik elfelejtette hogy ki volt és mit tett.","","False","","","spiritold ""Xandria, enough. As you can see, our guest has apparently forgotten who he was and what he has done."" id spiritold_40a7220c"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:79","old_999e4b6e","Hogy ki voltam az semmit nem jelent nekem. A jövő... a jövő a minden.","","False","","","old ""Who I was means nothing to me. The future... the future is everything."" id old_999e4b6e"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:80","spiritold_c474ebdf","Ez nem az első alkalom hogy ezt csinálod. Amint valami nem tetszik a múltadból, te úgy döntesz feladod.","","False","","","spiritold ""This isn't the first time you've pulled this. As soon as you start to dislike your past, you choose to abandon it."" id spiritold_c474ebdf"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:82","spiritold_44d7ce4f","De elfelejteni a múltat nem ugyanaz mint kitörölni, Marcus.","","False","","","spiritold ""But forgetting your past is not the same thing as erasing it, Marcus."" id spiritold_44d7ce4f"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:84","old_aaa59dbc","Már most meguntam ezt, miniszter úr. Miért vagy itt? Térj tárgyra.","","False","","","old ""I'm already tired of this, mister Minister. Why are you here? Get to it already."" id old_aaa59dbc"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:86","xandria_80a0bf23","Söpredék! Folytasd az arcátlankodást és azt fogod kívánni bár meg se születtél volna.","","False","","","xandria ""Scum! Continue to be impudent and I'll make you wish you were never born."" id xandria_80a0bf23"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:88","spiritold_cc36ed73","Nyugalom, Xandria. Értékelem a lelkesedést, de nézz csak rá milyen állapotban van. Még csak pálcája sincs.","","False","","","spiritold ""Calm yourself, Xandria. I appreciate your spirit, but look at the state of him. He doesn't even have a wand."" id spiritold_cc36ed73"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:90","old_826be228","Há, kell valami amibe belekapaszkodhatsz? Gyere közelebb, miniszter, van egy pálcám neked...","","False","","","old ""Ha, do you need something to hold on to? Come closer, Minister, I have a wand for you..."" id old_826be228"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:92","spiritold_5f02dafa","Elég a játékból! Tudod miért vagyok itt. Tudni akarom mit csináltál a lánnyal! Hol van?!","","False","","","spiritold ""Enough of these games! You know why I'm here. I want to know what you did to her! Where is she?!"" id spiritold_5f02dafa"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:94","old_f25b4886","Nem tudom ki az a \""lány\"", és még kevésbé hogy mit tettem vele. Ha hozzád tartozott, úgy képzelem nem lehetett semmi... jó.","","False","","","old ""I don't know who this \""her\"" is, much less what I did. If she was one of yours, however, I can't imagine it was anything... nice."" id old_f25b4886"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:96","xandria_a34137dd","Korcs... azt érdemled hogy itt a négy fall között rohadj örökre!","","False","","","xandria ""You bastard... you deserve to rot between these walls for the rest of eternity!"" id xandria_a34137dd"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:98","spiritold_67331256","Azt hiszed biztonságban vagy, Rattlesnake, de tévedsz. Az emlékeket sose lehet kitörölni, csak... blokkolni.","","False","","","spiritold ""You think you are safe, Rattlesnake, but you are wrong. Memories can never fully be erased, only... blocked."" id spiritold_67331256"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:100","spiritold_52188ad1","Neked sajnos, hoztam egy speciális eszközt, ami megengedi hogy újraéljük a múltad, és kivizsgáljuk a bűneid mértékét.","","False","","","spiritold ""Unfortunately for you, I have brought a special device. It will allow us to revisit your past, and plumb the depth of your crimes."" id spiritold_52188ad1"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:102","spiritold_f4eb122c","És amíg a részvételed kötelező, a beleegyezésed nem. Ha ellenállsz, a procedúra sokkal fájdalmasabb lesz. Bár te szereted a fájdalmat...","","False","","","spiritold ""And while your participation is required, your consent isn't. If you resist, the process will be far more painful for you. Though you do like pain..."" id spiritold_f4eb122c"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:119","spiritold_eb5f4efb","Akkor vegyél fel valamit, és kezdjünk bele.","","False","","","spiritold ""Put some clothes on then, and let's get on with it."" id spiritold_eb5f4efb"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:129","xandria_6a8849b7","Mit nézel?!","","False","","","xandria ""What are you looking at?!"" id xandria_6a8849b7"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:137","xandria_d84a7b52","Kussolj, féreg, csináld amit a miniszter mondd.","","False","","","xandria ""Keep quiet, worm, do as the Minister says."" id xandria_d84a7b52"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:154","old_54a205a1","(Egy utazás a múltba? Én mit nyerek ebből?)","","False","","","old ""(A trip down memory lane? What's in it for me?)"" id old_54a205a1"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:158","xandria_93006bdb","Rá se gondolj.","","False","","","xandria ""Don't even think about it."" id xandria_93006bdb"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:169","xandria_8dc757af","Óh ne!","","False","","","xandria ""Oh no!"" id xandria_8dc757af"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:178","old_753e77c2","Fájdalom, mi? Azt hiszem tudok arról egy-kettőt...","","False","","","old ""Pain, you say? I think I do know a little bit about that, yes..."" id old_753e77c2"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:180","old_5d972574","Ne aggódj, nem foglak megölni. Azt akarom hogy tudd, a pozíciód és csatlósaid ellenére...","","False","","","old ""Don't worry, I'm not going to kill you. I just want you to be aware that, despite your position and your minions..."" id old_5d972574"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:182","old_85af760f","...gyorsan megölnélek ilyen közel. Értjük egymást, miniszter?","","False","","","old ""...I could kill you quickly this close up. Do we understand each other now, Minister?"" id old_85af760f"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:191","xandria_b307bdf1","Tűnj el mellőle!","","False","","","xandria ""Get away from him!"" id xandria_b307bdf1"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:193","old_d86f0e33","Vagy mi? Hangosabban ordítasz?","","False","","","old ""Or what? You'll scream louder?"" id old_d86f0e33"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:195","spiritold_0787aaef","Rendben van... Azt hiszem értjük egymást teljes mértékben, Lord Rattlesnake, most már letehet.","","False","","","spiritold ""Very well... I think we understand each other perfectly, Lord Rattlesnake, you can put me down now."" id spiritold_0787aaef"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:217","xandria_99b39d65","Próbáld meg mégegyszer, söpredék! Napokig fogják a maradványidat kapargatni a falról!","","False","","","xandria ""Try that again, scum! They'll be cleaning you off the walls for weeks!"" id xandria_99b39d65"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:219","old_c15e75fa","Remegek a csizmámban, kis exhibicionistám.","","False","","","old ""I am quivering in my boots, my little exhibitionist."" id old_c15e75fa"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:222","old_90917e03","Szóval, egy kiruccanás a múltba? De én mit nyerek ezzel?","","False","","","old ""So, a trip down memory lane? But what do I get out of it?"" id old_90917e03"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:224","spiritold_813d04bd","Ha a lány él és egészséges, a Wizengamot némi kegyelmet fog mutatni. Talán nem fogod életed maradék napjait e falak közt tölteni.","","False","","","spiritold ""If she is alive and well, the Wizengamot will show you some leniency. You might not end up spending the rest of your days inside these walls."" id spiritold_813d04bd"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:226","old_20d12fb7","Feltételezve hogy maradni terveztem...","","False","","","old ""That is assuming I was planning to stay at all..."" id old_20d12fb7"
"game/scripts/plot/act_1_new/chapter_1/dialogues.rpy:228","spiritold_e10bf0e5","Igen, az egy ésszerű feltételezés volt.","","False","","","spiritold ""Yes, that is an assumption I felt reasonable to make."" id spiritold_e10bf0e5"
